Please enter the number of print jobs to run: 1000

 {||}                Original Order            {||} 
 {||} =================== {||} =============== {||} 
 {||}             771     {||}           2     {||} 
 {||}             772     {||}           9     {||} 
 {||}             773     {||}           8     {||} 
 {||}             774     {||}           3     {||} 
 {||}             775     {||}           2     {||} 
 {||}             776     {||}           5     {||} 
 {||}             777     {||}           9     {||} 
 {||}             778     {||}           5     {||} 
 {||}             779     {||}           8     {||} 
 {||}             780     {||}           7     {||} 
 {||}             781     {||}           8     {||} 
 {||}             782     {||}           3     {||} 
 {||}             783     {||}           8     {||} 
 {||}             784     {||}           5     {||} 
 {||}             785     {||}           6     {||} 
 {||}             786     {||}          10     {||} 
 {||}             787     {||}           8     {||} 
 {||}             788     {||}           5     {||} 
 {||}             789     {||}           7     {||} 
 {||}             790     {||}           8     {||} 
 {||}             791     {||}           4     {||} 
 {||}             792     {||}           1     {||} 
 {||}             793     {||}           7     {||} 
 {||}             794     {||}           4     {||} 
 {||}             795     {||}           3     {||} 
 {||}             796     {||}          10     {||} 
 {||}             797     {||}           7     {||} 
 {||}             798     {||}           9     {||} 
 {||}             799     {||}           2     {||} 
 {||}             800     {||}           2     {||} 
 {||}             801     {||}           4     {||} 
 {||}             802     {||}           5     {||} 
 {||}             803     {||}           3     {||} 
 {||}             804     {||}           6     {||} 
 {||}             805     {||}          10     {||} 
 {||}             806     {||}          10     {||} 
 {||}             807     {||}           4     {||} 
 {||}             808     {||}           8     {||} 
 {||}             809     {||}           6     {||} 
 {||}             810     {||}           2     {||} 
 {||}             811     {||}           5     {||} 
 {||}             812     {||}          10     {||} 
 {||}             813     {||}           2     {||} 
 {||}             814     {||}           8     {||} 
 {||}             815     {||}           5     {||} 
 {||}             816     {||}           9     {||} 
 {||}             817     {||}           3     {||} 
 {||}             818     {||}           6     {||} 
 {||}             819     {||}           2     {||} 
 {||}             820     {||}           3     {||} 
 {||}             821     {||}          10     {||} 
 {||}             822     {||}           2     {||} 
 {||}             823     {||}           4     {||} 
 {||}             824     {||}           1     {||} 
 {||}             825     {||}           1     {||} 
 {||}             826     {||}           6     {||} 
 {||}             827     {||}           6     {||} 
 {||}             828     {||}           4     {||} 
 {||}             829     {||}          10     {||} 
 {||}             830     {||}           4     {||} 
 {||}             831     {||}           8     {||} 
 {||}             832     {||}           6     {||} 
 {||}             833     {||}           2     {||} 
 {||}             834     {||}           1     {||} 
 {||}             835     {||}           9     {||} 
 {||}             836     {||}          10     {||} 
 {||}             837     {||}           3     {||} 
 {||}             838     {||}           7     {||} 
 {||}             839     {||}           9     {||} 
 {||}             840     {||}           1     {||} 
 {||}             841     {||}           9     {||} 
 {||}             842     {||}           7     {||} 
 {||}             843     {||}          10     {||} 
 {||}             844     {||}           8     {||} 
 {||}             845     {||}           2     {||} 
 {||}             846     {||}           9     {||} 
 {||}             847     {||}           4     {||} 
 {||}             848     {||}           4     {||} 
 {||}             849     {||}           2     {||} 
 {||}             850     {||}           5     {||} 
 {||}             851     {||}           3     {||} 
 {||}             852     {||}           3     {||} 
 {||}             853     {||}           9     {||} 
 {||}             854     {||}           1     {||} 
 {||}             855     {||}           6     {||} 
 {||}             856     {||}           9     {||} 
 {||}             857     {||}           5     {||} 
 {||}             858     {||}           6     {||} 
 {||}             859     {||}           1     {||} 
 {||}             860     {||}           6     {||} 
 {||}             861     {||}           4     {||} 
 {||}             862     {||}          10     {||} 
 {||}             863     {||}           9     {||} 
 {||}             864     {||}           1     {||} 
 {||}             865     {||}           7     {||} 
 {||}             866     {||}           8     {||} 
 {||}             867     {||}           8     {||} 
 {||}             868     {||}           3     {||} 
 {||}             869     {||}           6     {||} 
 {||}             870     {||}           3     {||} 
 {||}             871     {||}           5     {||} 
 {||}             872     {||}           1     {||} 
 {||}             873     {||}           2     {||} 
 {||}             874     {||}           7     {||} 
 {||}             875     {||}           5     {||} 
 {||}             876     {||}           3     {||} 
 {||}             877     {||}           4     {||} 
 {||}             878     {||}           7     {||} 
 {||}             879     {||}           8     {||} 
 {||}             880     {||}           2     {||} 
 {||}             881     {||}           8     {||} 
 {||}             882     {||}           2     {||} 
 {||}             883     {||}           8     {||} 
 {||}             884     {||}           1     {||} 
 {||}             885     {||}           5     {||} 
 {||}             886     {||}           6     {||} 
 {||}             887     {||}           9     {||} 
 {||}             888     {||}           1     {||} 
 {||}             889     {||}           5     {||} 
 {||}             890     {||}           1     {||} 
 {||}             891     {||}           8     {||} 
 {||}             892     {||}          10     {||} 
 {||}             893     {||}           5     {||} 
 {||}             894     {||}           2     {||} 
 {||}             895     {||}           8     {||} 
 {||}             896     {||}           5     {||} 
 {||}             897     {||}          10     {||} 
 {||}             898     {||}           5     {||} 
 {||}             899     {||}           5     {||} 
 {||}             900     {||}           9     {||} 
 {||}             901     {||}           5     {||} 
 {||}             902     {||}           6     {||} 
 {||}             903     {||}           3     {||} 
 {||}             904     {||}           2     {||} 
 {||}             905     {||}           7     {||} 
 {||}             906     {||}           1     {||} 
 {||}             907     {||}           6     {||} 
 {||}             908     {||}           7     {||} 
 {||}             909     {||}          10     {||} 
 {||}             910     {||}           3     {||} 
 {||}             911     {||}           1     {||} 
 {||}             912     {||}           7     {||} 
 {||}             913     {||}           1     {||} 
 {||}             914     {||}           2     {||} 
 {||}             915     {||}           1     {||} 
 {||}             916     {||}           7     {||} 
 {||}             917     {||}           3     {||} 
 {||}             918     {||}           8     {||} 
 {||}             919     {||}           6     {||} 
 {||}             920     {||}           4     {||} 
 {||}             921     {||}           3     {||} 
 {||}             922     {||}           7     {||} 
 {||}             923     {||}           1     {||} 
 {||}             924     {||}          10     {||} 
 {||}             925     {||}          10     {||} 
 {||}             926     {||}          10     {||} 
 {||}             927     {||}           2     {||} 
 {||}             928     {||}          10     {||} 
 {||}             929     {||}           5     {||} 
 {||}             930     {||}           3     {||} 
 {||}             931     {||}           1     {||} 
 {||}             932     {||}           8     {||} 
 {||}             933     {||}          10     {||} 
 {||}             934     {||}           3     {||} 
 {||}             935     {||}           2     {||} 
 {||}             936     {||}           5     {||} 
 {||}             937     {||}           1     {||} 
 {||}             938     {||}           2     {||} 
 {||}             939     {||}           4     {||} 
 {||}             940     {||}           2     {||} 
 {||}             941     {||}           5     {||} 
 {||}             942     {||}           6     {||} 
 {||}             943     {||}           8     {||} 
 {||}             944     {||}           1     {||} 
 {||}             945     {||}           3     {||} 
 {||}             946     {||}          10     {||} 
 {||}             947     {||}           5     {||} 
 {||}             948     {||}           1     {||} 
 {||}             949     {||}           1     {||} 
 {||}             950     {||}           4     {||} 
 {||}             951     {||}           1     {||} 
 {||}             952     {||}          10     {||} 
 {||}             953     {||}           4     {||} 
 {||}             954     {||}           1     {||} 
 {||}             955     {||}           3     {||} 
 {||}             956     {||}           1     {||} 
 {||}             957     {||}           7     {||} 
 {||}             958     {||}           7     {||} 
 {||}             959     {||}           3     {||} 
 {||}             960     {||}           8     {||} 
 {||}             961     {||}           3     {||} 
 {||}             962     {||}           2     {||} 
 {||}             963     {||}           4     {||} 
 {||}             964     {||}           3     {||} 
 {||}             965     {||}           2     {||} 
 {||}             966     {||}           2     {||} 
 {||}             967     {||}           4     {||} 
 {||}             968     {||}           9     {||} 
 {||}             969     {||}           3     {||} 
 {||}             970     {||}           4     {||} 
 {||}             971     {||}           4     {||} 
 {||}             972     {||}           4     {||} 
 {||}             973     {||}           7     {||} 
 {||}             974     {||}           5     {||} 
 {||}             975     {||}           8     {||} 
 {||}             976     {||}           2     {||} 
 {||}             977     {||}          10     {||} 
 {||}             978     {||}           9     {||} 
 {||}             979     {||}           5     {||} 
 {||}             980     {||}           4     {||} 
 {||}             981     {||}           1     {||} 
 {||}             982     {||}           8     {||} 
 {||}             983     {||}           3     {||} 
 {||}             984     {||}           2     {||} 
 {||}             985     {||}           2     {||} 
 {||}             986     {||}           4     {||} 
 {||}             987     {||}          10     {||} 
 {||}             988     {||}           2     {||} 
 {||}             989     {||}           2     {||} 
 {||}             990     {||}           3     {||} 
 {||}             991     {||}           1     {||} 
 {||}             992     {||}           1     {||} 
 {||}             993     {||}           2     {||} 
 {||}             994     {||}           5     {||} 
 {||}             995     {||}           5     {||} 
 {||}             996     {||}           4     {||} 
 {||}             997     {||}           4     {||} 
 {||}             998     {||}           6     {||} 
 {||}             999     {||}           2     {||} 
 {||}            1000     {||}           8     {||} 
 {||} =================== {||} =============== {||} 



 {||}                                          Print Order                                       {||} 
 {||} =================== {||} =================== {||} =============== {||} =================== {||} 
 {||}     Print Job #     {||}      Org. Job #     {||}       Pages     {||}     Pos. Change     {||} 
 {||}               1     {||}               3     {||}           1     {||}            Up 2     {||} 
 {||}               2     {||}              14     {||}           1     {||}            Up 12     {||} 
 {||}               3     {||}              23     {||}           1     {||}            Up 20     {||} 
 {||}               4     {||}              39     {||}           1     {||}            Up 35     {||} 
 {||}               5     {||}              41     {||}           1     {||}            Up 36     {||} 
 {||}               6     {||}              53     {||}           1     {||}            Up 47     {||} 
 {||}               7     {||}              61     {||}           1     {||}            Up 54     {||} 
 {||}               8     {||}              68     {||}           1     {||}            Up 60     {||} 
 {||}               9     {||}              93     {||}           1     {||}            Up 84     {||} 
 {||}              10     {||}             102     {||}           1     {||}            Up 92     {||} 
 {||}              11     {||}             114     {||}           1     {||}            Up 103     {||} 
 {||}              12     {||}             126     {||}           1     {||}            Up 114     {||} 
 {||}              13     {||}             136     {||}           1     {||}            Up 123     {||} 
 {||}              14     {||}             146     {||}           1     {||}            Up 132     {||} 
 {||}              15     {||}             150     {||}           1     {||}            Up 135     {||} 
 {||}              16     {||}             161     {||}           1     {||}            Up 145     {||} 
 {||}              17     {||}             200     {||}           1     {||}            Up 183     {||} 
 {||}              18     {||}             209     {||}           1     {||}            Up 191     {||} 
 {||}              19     {||}             211     {||}           1     {||}            Up 192     {||} 
 {||}              20     {||}             213     {||}           1     {||}            Up 193     {||} 
 {||}              21     {||}             227     {||}           1     {||}            Up 206     {||} 
 {||}              22     {||}             228     {||}           1     {||}            Up 206     {||} 
 {||}              23     {||}             232     {||}           1     {||}            Up 209     {||} 
 {||}              24     {||}             239     {||}           1     {||}            Up 215     {||} 
 {||}              25     {||}             248     {||}           1     {||}            Up 223     {||} 
 {||}              26     {||}             259     {||}           1     {||}            Up 233     {||} 
 {||}              27     {||}             261     {||}           1     {||}            Up 234     {||} 
 {||}              28     {||}             275     {||}           1     {||}            Up 247     {||} 
 {||}              29     {||}             279     {||}           1     {||}            Up 250     {||} 
 {||}              30     {||}             281     {||}           1     {||}            Up 251     {||} 
 {||}              31     {||}             282     {||}           1     {||}            Up 251     {||} 
 {||}              32     {||}             285     {||}           1     {||}            Up 253     {||} 
 {||}              33     {||}             298     {||}           1     {||}            Up 265     {||} 
 {||}              34     {||}             309     {||}           1     {||}            Up 275     {||} 
 {||}              35     {||}             321     {||}           1     {||}            Up 286     {||} 
 {||}              36     {||}             328     {||}           1     {||}            Up 292     {||} 
 {||}              37     {||}             334     {||}           1     {||}            Up 297     {||} 
 {||}              38     {||}             349     {||}           1     {||}            Up 311     {||} 
 {||}              39     {||}             351     {||}           1     {||}            Up 312     {||} 
 {||}              40     {||}             354     {||}           1     {||}            Up 314     {||} 
 {||}              41     {||}             361     {||}           1     {||}            Up 320     {||} 
 {||}              42     {||}             369     {||}           1     {||}            Up 327     {||} 
 {||}              43     {||}             375     {||}           1     {||}            Up 332     {||} 
 {||}              44     {||}             393     {||}           1     {||}            Up 349     {||} 
 {||}              45     {||}             396     {||}           1     {||}            Up 351     {||} 
 {||}              46     {||}             411     {||}           1     {||}            Up 365     {||} 
 {||}              47     {||}             414     {||}           1     {||}            Up 367     {||} 
 {||}              48     {||}             418     {||}           1     {||}            Up 370     {||} 
 {||}              49     {||}             430     {||}           1     {||}            Up 381     {||} 
 {||}              50     {||}             438     {||}           1     {||}            Up 388     {||} 
 {||}              51     {||}             445     {||}           1     {||}            Up 394     {||} 
 {||}              52     {||}             457     {||}           1     {||}            Up 405     {||} 
 {||}              53     {||}             465     {||}           1     {||}            Up 412     {||} 
 {||}              54     {||}             477     {||}           1     {||}            Up 423     {||} 
 {||}              55     {||}             487     {||}           1     {||}            Up 432     {||} 
 {||}              56     {||}             489     {||}           1     {||}            Up 433     {||} 
 {||}              57     {||}             492     {||}           1     {||}            Up 435     {||} 
 {||}              58     {||}             512     {||}           1     {||}            Up 454     {||} 
 {||}              59     {||}             520     {||}           1     {||}            Up 461     {||} 
 {||}              60     {||}             528     {||}           1     {||}            Up 468     {||} 
 {||}              61     {||}             539     {||}           1     {||}            Up 478     {||} 
 {||}              62     {||}             540     {||}           1     {||}            Up 478     {||} 
 {||}              63     {||}             572     {||}           1     {||}            Up 509     {||} 
 {||}              64     {||}             577     {||}           1     {||}            Up 513     {||} 
 {||}              65     {||}             585     {||}           1     {||}            Up 520     {||} 
 {||}              66     {||}             607     {||}           1     {||}            Up 541     {||} 
 {||}              67     {||}             646     {||}           1     {||}            Up 579     {||} 
 {||}              68     {||}             662     {||}           1     {||}            Up 594     {||} 
 {||}              69     {||}             664     {||}           1     {||}            Up 595     {||} 
 {||}              70     {||}             674     {||}           1     {||}            Up 604     {||} 
 {||}              71     {||}             687     {||}           1     {||}            Up 616     {||} 
 {||}              72     {||}             694     {||}           1     {||}            Up 622     {||} 
 {||}              73     {||}             720     {||}           1     {||}            Up 647     {||} 
 {||}              74     {||}             739     {||}           1     {||}            Up 665     {||} 
 {||}              75     {||}             748     {||}           1     {||}            Up 673     {||} 
 {||}              76     {||}             754     {||}           1     {||}            Up 678     {||} 
 {||}              77     {||}             764     {||}           1     {||}            Up 687     {||} 
 {||}              78     {||}             792     {||}           1     {||}            Up 714     {||} 
 {||}              79     {||}             824     {||}           1     {||}            Up 745     {||} 
 {||}              80     {||}             825     {||}           1     {||}            Up 745     {||} 
 {||}              81     {||}             834     {||}           1     {||}            Up 753     {||} 
 {||}              82     {||}             840     {||}           1     {||}            Up 758     {||} 
 {||}              83     {||}             854     {||}           1     {||}            Up 771     {||} 
 {||}              84     {||}             859     {||}           1     {||}            Up 775     {||} 
 {||}              85     {||}             864     {||}           1     {||}            Up 779     {||} 
 {||}              86     {||}             872     {||}           1     {||}            Up 786     {||} 
 {||}              87     {||}             884     {||}           1     {||}            Up 797     {||} 
 {||}              88     {||}             888     {||}           1     {||}            Up 800     {||} 
 {||}              89     {||}             890     {||}           1     {||}            Up 801     {||} 
 {||}              90     {||}             906     {||}           1     {||}            Up 816     {||} 
 {||}              91     {||}             911     {||}           1     {||}            Up 820     {||} 
 {||}              92     {||}             913     {||}           1     {||}            Up 821     {||} 
 {||}              93     {||}             915     {||}           1     {||}            Up 822     {||} 
 {||}              94     {||}             923     {||}           1     {||}            Up 829     {||} 
 {||}              95     {||}             931     {||}           1     {||}            Up 836     {||} 
 {||}              96     {||}             937     {||}           1     {||}            Up 841     {||} 
 {||}              97     {||}             944     {||}           1     {||}            Up 847     {||} 
 {||}              98     {||}             948     {||}           1     {||}            Up 850     {||} 
 {||}              99     {||}             949     {||}           1     {||}            Up 850     {||} 
 {||}             100     {||}             951     {||}           1     {||}            Up 851     {||} 
 {||}             101     {||}             954     {||}           1     {||}            Up 853     {||} 
 {||}             102     {||}             956     {||}           1     {||}            Up 854     {||} 
 {||}             103     {||}             981     {||}           1     {||}            Up 878     {||} 
 {||}             104     {||}             991     {||}           1     {||}            Up 887     {||} 
 {||}             105     {||}             992     {||}           1     {||}            Up 887     {||} 
 {||}             106     {||}               1     {||}           2     {||}          Down 105     {||} 
 {||}             107     {||}              15     {||}           2     {||}          Down 92     {||} 
 {||}             108     {||}              26     {||}           2     {||}          Down 82     {||} 
 {||}             109     {||}              38     {||}           2     {||}          Down 71     {||} 
 {||}             110     {||}              42     {||}           2     {||}          Down 68     {||} 
 {||}             111     {||}              44     {||}           2     {||}          Down 67     {||} 
 {||}             112     {||}              75     {||}           2     {||}          Down 37     {||} 
 {||}             113     {||}              89     {||}           2     {||}          Down 24     {||} 
 {||}             114     {||}              96     {||}           2     {||}          Down 18     {||} 
 {||}             115     {||}             106     {||}           2     {||}          Down 9     {||} 
 {||}             116     {||}             110     {||}           2     {||}          Down 6     {||} 
 {||}             117     {||}             130     {||}           2     {||}            Up 13     {||} 
 {||}             118     {||}             140     {||}           2     {||}            Up 22     {||} 
 {||}             119     {||}             141     {||}           2     {||}            Up 22     {||} 
 {||}             120     {||}             152     {||}           2     {||}            Up 32     {||} 
 {||}             121     {||}             162     {||}           2     {||}            Up 41     {||} 
 {||}             122     {||}             171     {||}           2     {||}            Up 49     {||} 
 {||}             123     {||}             179     {||}           2     {||}            Up 56     {||} 
 {||}             124     {||}             193     {||}           2     {||}            Up 69     {||} 
 {||}             125     {||}             195     {||}           2     {||}            Up 70     {||} 
 {||}             126     {||}             212     {||}           2     {||}            Up 86     {||} 
 {||}             127     {||}             219     {||}           2     {||}            Up 92     {||} 
 {||}             128     {||}             224     {||}           2     {||}            Up 96     {||} 
 {||}             129     {||}             244     {||}           2     {||}            Up 115     {||} 
 {||}             130     {||}             257     {||}           2     {||}            Up 127     {||} 
 {||}             131     {||}             260     {||}           2     {||}            Up 129     {||} 
 {||}             132     {||}             262     {||}           2     {||}            Up 130     {||} 
 {||}             133     {||}             272     {||}           2     {||}            Up 139     {||} 
 {||}             134     {||}             273     {||}           2     {||}            Up 139     {||} 
 {||}             135     {||}             311     {||}           2     {||}            Up 176     {||} 
 {||}             136     {||}             318     {||}           2     {||}            Up 182     {||} 
 {||}             137     {||}             323     {||}           2     {||}            Up 186     {||} 
 {||}             138     {||}             331     {||}           2     {||}            Up 193     {||} 
 {||}             139     {||}             372     {||}           2     {||}            Up 233     {||} 
 {||}             140     {||}             386     {||}           2     {||}            Up 246     {||} 
 {||}             141     {||}             387     {||}           2     {||}            Up 246     {||} 
 {||}             142     {||}             410     {||}           2     {||}            Up 268     {||} 
 {||}             143     {||}             425     {||}           2     {||}            Up 282     {||} 
 {||}             144     {||}             450     {||}           2     {||}            Up 306     {||} 
 {||}             145     {||}             453     {||}           2     {||}            Up 308     {||} 
 {||}             146     {||}             456     {||}           2     {||}            Up 310     {||} 
 {||}             147     {||}             468     {||}           2     {||}            Up 321     {||} 
 {||}             148     {||}             488     {||}           2     {||}            Up 340     {||} 
 {||}             149     {||}             495     {||}           2     {||}            Up 346     {||} 
 {||}             150     {||}             502     {||}           2     {||}            Up 352     {||} 
 {||}             151     {||}             508     {||}           2     {||}            Up 357     {||} 
 {||}             152     {||}             509     {||}           2     {||}            Up 357     {||} 
 {||}             153     {||}             538     {||}           2     {||}            Up 385     {||} 
 {||}             154     {||}             558     {||}           2     {||}            Up 404     {||} 
 {||}             155     {||}             561     {||}           2     {||}            Up 406     {||} 
 {||}             156     {||}             570     {||}           2     {||}            Up 414     {||} 
 {||}             157     {||}             587     {||}           2     {||}            Up 430     {||} 
 {||}             158     {||}             614     {||}           2     {||}            Up 456     {||} 
 {||}             159     {||}             624     {||}           2     {||}            Up 465     {||} 
 {||}             160     {||}             656     {||}           2     {||}            Up 496     {||} 
 {||}             161     {||}             657     {||}           2     {||}            Up 496     {||} 
 {||}             162     {||}             669     {||}           2     {||}            Up 507     {||} 
 {||}             163     {||}             681     {||}           2     {||}            Up 518     {||} 
 {||}             164     {||}             686     {||}           2     {||}            Up 522     {||} 
 {||}             165     {||}             710     {||}           2     {||}            Up 545     {||} 
 {||}             166     {||}             711     {||}           2     {||}            Up 545     {||} 
 {||}             167     {||}             714     {||}           2     {||}            Up 547     {||} 
 {||}             168     {||}             721     {||}           2     {||}            Up 553     {||} 
 {||}             169     {||}             726     {||}           2     {||}            Up 557     {||} 
 {||}             170     {||}             731     {||}           2     {||}            Up 561     {||} 
 {||}             171     {||}             732     {||}           2     {||}            Up 561     {||} 
 {||}             172     {||}             762     {||}           2     {||}            Up 590     {||} 
 {||}             173     {||}             771     {||}           2     {||}            Up 598     {||} 
 {||}             174     {||}             775     {||}           2     {||}            Up 601     {||} 
 {||}             175     {||}             799     {||}           2     {||}            Up 624     {||} 
 {||}             176     {||}             800     {||}           2     {||}            Up 624     {||} 
 {||}             177     {||}             810     {||}           2     {||}            Up 633     {||} 
 {||}             178     {||}             813     {||}           2     {||}            Up 635     {||} 
 {||}             179     {||}             819     {||}           2     {||}            Up 640     {||} 
 {||}             180     {||}             822     {||}           2     {||}            Up 642     {||} 
 {||}             181     {||}             833     {||}           2     {||}            Up 652     {||} 
 {||}             182     {||}             845     {||}           2     {||}            Up 663     {||} 
 {||}             183     {||}             849     {||}           2     {||}            Up 666     {||} 
 {||}             184     {||}             873     {||}           2     {||}            Up 689     {||} 
 {||}             185     {||}             880     {||}           2     {||}            Up 695     {||} 
 {||}             186     {||}             882     {||}           2     {||}            Up 696     {||} 
 {||}             187     {||}             894     {||}           2     {||}            Up 707     {||} 
 {||}             188     {||}             904     {||}           2     {||}            Up 716     {||} 
 {||}             189     {||}             914     {||}           2     {||}            Up 725     {||} 
 {||}             190     {||}             927     {||}           2     {||}            Up 737     {||} 
 {||}             191     {||}             935     {||}           2     {||}            Up 744     {||} 
 {||}             192     {||}             938     {||}           2     {||}            Up 746     {||} 
 {||}             193     {||}             940     {||}           2     {||}            Up 747     {||} 
 {||}             194     {||}             962     {||}           2     {||}            Up 768     {||} 
 {||}             195     {||}             965     {||}           2     {||}            Up 770     {||} 
 {||}             196     {||}             966     {||}           2     {||}            Up 770     {||} 
 {||}             197     {||}             976     {||}           2     {||}            Up 779     {||} 
 {||}             198     {||}             984     {||}           2     {||}            Up 786     {||} 
 {||}             199     {||}             985     {||}           2     {||}            Up 786     {||} 
 {||}             200     {||}             988     {||}           2     {||}            Up 788     {||} 
 {||}             201     {||}             989     {||}           2     {||}            Up 788     {||} 
 {||}             202     {||}             993     {||}           2     {||}            Up 791     {||} 
 {||}             203     {||}             999     {||}           2     {||}            Up 796     {||} 
 {||}             204     {||}               5     {||}           3     {||}          Down 199     {||} 
 {||}             205     {||}              11     {||}           3     {||}          Down 194     {||} 
 {||}             206     {||}              24     {||}           3     {||}          Down 182     {||} 
 {||}             207     {||}              29     {||}           3     {||}          Down 178     {||} 
 {||}             208     {||}              63     {||}           3     {||}          Down 145     {||} 
 {||}             209     {||}              70     {||}           3     {||}          Down 139     {||} 
 {||}             210     {||}              83     {||}           3     {||}          Down 127     {||} 
 {||}             211     {||}              85     {||}           3     {||}          Down 126     {||} 
 {||}             212     {||}              92     {||}           3     {||}          Down 120     {||} 
 {||}             213     {||}             115     {||}           3     {||}          Down 98     {||} 
 {||}             214     {||}             139     {||}           3     {||}          Down 75     {||} 
 {||}             215     {||}             154     {||}           3     {||}          Down 61     {||} 
 {||}             216     {||}             165     {||}           3     {||}          Down 51     {||} 
 {||}             217     {||}             168     {||}           3     {||}          Down 49     {||} 
 {||}             218     {||}             207     {||}           3     {||}          Down 11     {||} 
 {||}             219     {||}             210     {||}           3     {||}          Down 9     {||} 
 {||}             220     {||}             223     {||}           3     {||}            Up 3     {||} 
 {||}             221     {||}             235     {||}           3     {||}            Up 14     {||} 
 {||}             222     {||}             240     {||}           3     {||}            Up 18     {||} 
 {||}             223     {||}             242     {||}           3     {||}            Up 19     {||} 
 {||}             224     {||}             246     {||}           3     {||}            Up 22     {||} 
 {||}             225     {||}             251     {||}           3     {||}            Up 26     {||} 
 {||}             226     {||}             294     {||}           3     {||}            Up 68     {||} 
 {||}             227     {||}             296     {||}           3     {||}            Up 69     {||} 
 {||}             228     {||}             297     {||}           3     {||}            Up 69     {||} 
 {||}             229     {||}             305     {||}           3     {||}            Up 76     {||} 
 {||}             230     {||}             322     {||}           3     {||}            Up 92     {||} 
 {||}             231     {||}             326     {||}           3     {||}            Up 95     {||} 
 {||}             232     {||}             336     {||}           3     {||}            Up 104     {||} 
 {||}             233     {||}             337     {||}           3     {||}            Up 104     {||} 
 {||}             234     {||}             340     {||}           3     {||}            Up 106     {||} 
 {||}             235     {||}             342     {||}           3     {||}            Up 107     {||} 
 {||}             236     {||}             343     {||}           3     {||}            Up 107     {||} 
 {||}             237     {||}             367     {||}           3     {||}            Up 130     {||} 
 {||}             238     {||}             374     {||}           3     {||}            Up 136     {||} 
 {||}             239     {||}             376     {||}           3     {||}            Up 137     {||} 
 {||}             240     {||}             381     {||}           3     {||}            Up 141     {||} 
 {||}             241     {||}             382     {||}           3     {||}            Up 141     {||} 
 {||}             242     {||}             385     {||}           3     {||}            Up 143     {||} 
 {||}             243     {||}             389     {||}           3     {||}            Up 146     {||} 
 {||}             244     {||}             392     {||}           3     {||}            Up 148     {||} 
 {||}             245     {||}             397     {||}           3     {||}            Up 152     {||} 
 {||}             246     {||}             399     {||}           3     {||}            Up 153     {||} 
 {||}             247     {||}             401     {||}           3     {||}            Up 154     {||} 
 {||}             248     {||}             407     {||}           3     {||}            Up 159     {||} 
 {||}             249     {||}             415     {||}           3     {||}            Up 166     {||} 
 {||}             250     {||}             417     {||}           3     {||}            Up 167     {||} 
 {||}             251     {||}             426     {||}           3     {||}            Up 175     {||} 
 {||}             252     {||}             429     {||}           3     {||}            Up 177     {||} 
 {||}             253     {||}             431     {||}           3     {||}            Up 178     {||} 
 {||}             254     {||}             442     {||}           3     {||}            Up 188     {||} 
 {||}             255     {||}             444     {||}           3     {||}            Up 189     {||} 
 {||}             256     {||}             446     {||}           3     {||}            Up 190     {||} 
 {||}             257     {||}             462     {||}           3     {||}            Up 205     {||} 
 {||}             258     {||}             466     {||}           3     {||}            Up 208     {||} 
 {||}             259     {||}             475     {||}           3     {||}            Up 216     {||} 
 {||}             260     {||}             484     {||}           3     {||}            Up 224     {||} 
 {||}             261     {||}             490     {||}           3     {||}            Up 229     {||} 
 {||}             262     {||}             498     {||}           3     {||}            Up 236     {||} 
 {||}             263     {||}             516     {||}           3     {||}            Up 253     {||} 
 {||}             264     {||}             523     {||}           3     {||}            Up 259     {||} 
 {||}             265     {||}             526     {||}           3     {||}            Up 261     {||} 
 {||}             266     {||}             534     {||}           3     {||}            Up 268     {||} 
 {||}             267     {||}             542     {||}           3     {||}            Up 275     {||} 
 {||}             268     {||}             544     {||}           3     {||}            Up 276     {||} 
 {||}             269     {||}             552     {||}           3     {||}            Up 283     {||} 
 {||}             270     {||}             569     {||}           3     {||}            Up 299     {||} 
 {||}             271     {||}             610     {||}           3     {||}            Up 339     {||} 
 {||}             272     {||}             611     {||}           3     {||}            Up 339     {||} 
 {||}             273     {||}             612     {||}           3     {||}            Up 339     {||} 
 {||}             274     {||}             615     {||}           3     {||}            Up 341     {||} 
 {||}             275     {||}             621     {||}           3     {||}            Up 346     {||} 
 {||}             276     {||}             654     {||}           3     {||}            Up 378     {||} 
 {||}             277     {||}             666     {||}           3     {||}            Up 389     {||} 
 {||}             278     {||}             667     {||}           3     {||}            Up 389     {||} 
 {||}             279     {||}             668     {||}           3     {||}            Up 389     {||} 
 {||}             280     {||}             684     {||}           3     {||}            Up 404     {||} 
 {||}             281     {||}             693     {||}           3     {||}            Up 412     {||} 
 {||}             282     {||}             700     {||}           3     {||}            Up 418     {||} 
 {||}             283     {||}             703     {||}           3     {||}            Up 420     {||} 
 {||}             284     {||}             708     {||}           3     {||}            Up 424     {||} 
 {||}             285     {||}             725     {||}           3     {||}            Up 440     {||} 
 {||}             286     {||}             730     {||}           3     {||}            Up 444     {||} 
 {||}             287     {||}             745     {||}           3     {||}            Up 458     {||} 
 {||}             288     {||}             761     {||}           3     {||}            Up 473     {||} 
 {||}             289     {||}             774     {||}           3     {||}            Up 485     {||} 
 {||}             290     {||}             782     {||}           3     {||}            Up 492     {||} 
 {||}             291     {||}             795     {||}           3     {||}            Up 504     {||} 
 {||}             292     {||}             803     {||}           3     {||}            Up 511     {||} 
 {||}             293     {||}             817     {||}           3     {||}            Up 524     {||} 
